Overall score
ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Afghanistan,34.88,34.81,35.49,36.03,36.19,36.62,37.05,37.69,37.1,39.06,39.56,39.27,40.51,40.93,41.58,42.82,44.28,45.08,45.47,46.15,47.51,46.9,46.48,46.2
AGO,Angola,46.86,46.62,46.94,47.41,47.35,47.22,48.3,48.48,50.37,50.45,51.06,51.62,52.22,52.39,52.04,52.35,52.29,52.19,50.71,50.98,51.31,51.94,52.27,52.51
ALB,Albania,66.48,66.55,66.44,66.62,66.94,67.38,67.38,67.65,68.43,68.71,69.91,70.19,71.58,71.59,70.21,71.84,72.27,72.49,73.83,73.92,74.2,74.84,75.03,75.11
ARE,United Arab Emirates,59.34,60.42,60.61,59.9,59.98,60.52,60.44,61.55,61.42,61.54,62.23,62.58,63,63.31,63.56,63.67,64.05,64.74,66.41,67.17,69.39,68.6,68.37,69.6
ARG,Argentina,67.73,67.26,67.01,68.16,68.72,69.55,69.77,69.83,70.27,71,71.3,71.76,72.38,72.75,73.18,74.12,73.72,74,74.01,73.69,73.78,74.3,75.12,75.02
ARM,Armenia,66.92,67.07,67.69,68.36,67.79,68.58,70.21,70.26,70.45,71.37,71.33,71.95,71.73,71.78,71.64,71.84,71.89,71.84,72.03,73.12,74.73,73.91,74.41,74.65
AUS,Australia,73.4,73.79,74.33,73,73.84,74.08,74.32,73.78,73.8,74.06,74.29,74.19,74.48,75.36,75.6,76.11,76.58,76.79,76.49,76.76,76.97,77.05,77.24,77.58
AUT,Austria,80.28,80.63,80.59,80.49,80.82,81.15,81.07,81.18,81.7,82.04,82.08,82.34,82.93,82.97,83.59,83.54,83.69,83.93,83.94,84.37,84.78,84.33,84.33,84.41
AZE,Azerbaijan,60.03,61.4,66.41,66.48,67.05,67.1,67.22,67.53,67.59,68.29,68.69,69.15,69.71,70.22,70.72,70.78,71.15,71.86,72.2,72.37,72.7,73.03,73.16,73.4
BDI,Burundi,48.08,48.64,49.14,49.31,49.4,49.92,51.26,51.61,51.93,52.3,53.14,53.48,53.03,52.13,53.02,53.13,53.2,53.61,53.67,53.89,54.01,54.52,54.81,54.99
